product_id,name,category,brand,price,rating,features,description
P0066,UGREEN Dây sạc 850,Dây sạc,UGREEN,11123000.0,3.4,"USB-C, Lightning",USB-C Lightning với chất lượng vượt trội
P0263,Xiaomi Điện thoại 314,Điện thoại,Xiaomi,25205000.0,3.1,"pin trâu, sạc nhanh",pin trâu sạc nhanh với chất lượng vượt trội
P0693,Baseus Dây sạc 736,Dây sạc,Baseus,47305000.0,4.4,"dài 1m, sạc nhanh",dài 1m sạc nhanh với chất lượng vượt trội
P0340,Apple Tai nghe 985,Tai nghe,Apple,40119000.0,3.9,"bluetooth 5.0, sạc nhanh",bluetooth 5.0 sạc nhanh với chất lượng vượt trội
P0505,MSI PC để bàn 883,PC để bàn,MSI,31746000.0,4.7,"card đồ họa, Windows 11",card đồ họa Windows 11 với chất lượng vượt trội
P0423,Amazfit Đồng hồ thông minh 299,Đồng hồ thông minh,Amazfit,16572000.0,4.1,"màn hình AMOLED, đo nhịp tim",màn hình AMOLED đo nhịp tim với chất lượng vượt trội
P0062,Samsung Sạc dự phòng 887,Sạc dự phòng,Samsung,2339000.0,4.0,"sạc nhanh, mỏng nhẹ",sạc nhanh mỏng nhẹ với chất lượng vượt trội
P0092,Xiaomi Tai nghe 810,Tai nghe,Xiaomi,39349000.0,4.0,"sạc nhanh, in-ear",sạc nhanh in-ear với chất lượng vượt trội
P0447,Energizer Sạc dự phòng 271,Sạc dự phòng,Energizer,39386000.0,4.9,"sạc nhanh, 10000mAh",sạc nhanh 10000mAh với chất lượng vượt trội
P0535,Acer PC để bàn 578,PC để bàn,Acer,25137000.0,3.5,"card đồ họa, RAM 16GB",card đồ họa RAM 16GB với chất lượng vượt trội
P0659,Energizer Sạc dự phòng 654,Sạc dự phòng,Energizer,34825000.0,4.2,"10000mAh, 2 cổng USB",10000mAh 2 cổng USB với chất lượng vượt trội
P0251,Apple Tai nghe 609,Tai nghe,Apple,44000000.0,3.1,"bluetooth 5.0, pin 20h",bluetooth 5.0 pin 20h với chất lượng vượt trội
P0646,HP PC để bàn 199,PC để bàn,HP,39030000.0,4.0,"card đồ họa, Windows 11",card đồ họa Windows 11 với chất lượng vượt trội
P0583,Samsung Tai nghe 680,Tai nghe,Samsung,49094000.0,4.3,"bluetooth 5.0, chống ồn",bluetooth 5.0 chống ồn với chất lượng vượt trội
P0064,Samsung Tai nghe 586,Tai nghe,Samsung,13120000.0,3.9,"chống ồn, in-ear",chống ồn in-ear với chất lượng vượt trội
P0513,Sony Tai nghe 724,Tai nghe,Sony,24002000.0,4.3,"chống ồn, sạc nhanh",chống ồn sạc nhanh với chất lượng vượt trội
P0365,Samsung Điện thoại 865,Điện thoại,Samsung,43252000.0,4.5,"sạc nhanh, pin trâu",sạc nhanh pin trâu với chất lượng vượt trội
P0563,HP PC để bàn 842,PC để bàn,HP,24126000.0,3.6,"SSD 1TB, RAM 16GB",SSD 1TB RAM 16GB với chất lượng vượt trội
P0192,Baseus Sạc dự phòng 529,Sạc dự phòng,Baseus,43802000.0,4.0,"mỏng nhẹ, 2 cổng USB",mỏng nhẹ 2 cổng USB với chất lượng vượt trội
P0432,Xiaomi Sạc dự phòng 118,Sạc dự phòng,Xiaomi,39531000.0,4.4,"sạc nhanh, mỏng nhẹ",sạc nhanh mỏng nhẹ với chất lượng vượt trội
P0654,Xiaomi Tai nghe 101,Tai nghe,Xiaomi,32147000.0,4.9,"pin 20h, sạc nhanh",pin 20h sạc nhanh với chất lượng vượt trội
P0013,Xiaomi Sạc dự phòng 348,Sạc dự phòng,Xiaomi,26342000.0,3.8,"mỏng nhẹ, sạc nhanh",mỏng nhẹ sạc nhanh với chất lượng vượt trội
P0534,Xiaomi Điện thoại 313,Điện thoại,Xiaomi,12887000.0,3.4,"sạc nhanh, camera kép",sạc nhanh camera kép với chất lượng vượt trội
P0695,Panasonic Máy ảnh 414,Máy ảnh,Panasonic,6092000.0,4.4,"24MP, ống kính rời",24MP ống kính rời với chất lượng vượt trội
P0481,Samsung Đồng hồ thông minh 850,Đồng hồ thông minh,Samsung,35426000.0,3.7,"đo nhịp tim, GPS",đo nhịp tim GPS với chất lượng vượt trội
P0527,Anker Sạc dự phòng 358,Sạc dự phòng,Anker,7172000.0,4.2,"sạc nhanh, mỏng nhẹ",sạc nhanh mỏng nhẹ với chất lượng vượt trội
P0509,Samsung Tai nghe 830,Tai nghe,Samsung,11280000.0,3.3,"chống ồn, bluetooth 5.0",chống ồn bluetooth 5.0 với chất lượng vượt trội
P0478,Xiaomi Đồng hồ thông minh 301,Đồng hồ thông minh,Xiaomi,36964000.0,3.3,"đo nhịp tim, theo dõi giấc ngủ",đo nhịp tim theo dõi giấc ngủ với chất lượng vượt trội
P0676,Acer PC để bàn 338,PC để bàn,Acer,2283000.0,3.2,"Windows 11, card đồ họa",Windows 11 card đồ họa với chất lượng vượt trội
P0595,Fujifilm Máy ảnh 560,Máy ảnh,Fujifilm,6111000.0,3.9,"ống kính rời, lấy nét nhanh",ống kính rời lấy nét nhanh với chất lượng vượt trội
P0375,Anker Dây sạc 168,Dây sạc,Anker,28468000.0,3.4,"bọc dù, Lightning",bọc dù Lightning với chất lượng vượt trội
P0668,Samsung Sạc dự phòng 985,Sạc dự phòng,Samsung,39566000.0,3.6,"20000mAh, mỏng nhẹ",20000mAh mỏng nhẹ với chất lượng vượt trội
P0244,Lenovo Laptop 449,Laptop,Lenovo,17788000.0,4.3,"RAM 16GB, SSD 512GB",RAM 16GB SSD 512GB với chất lượng vượt trội
P0372,Anker Dây sạc 611,Dây sạc,Anker,24731000.0,4.5,"sạc nhanh, bọc dù",sạc nhanh bọc dù với chất lượng vượt trội
P0681,Lenovo Laptop 466,Laptop,Lenovo,47675000.0,4.8,"màn hình 15 inch, SSD 512GB",màn hình 15 inch SSD 512GB với chất lượng vượt trội
P0520,Apple Đồng hồ thông minh 392,Đồng hồ thông minh,Apple,17158000.0,3.3,"theo dõi giấc ngủ, đo nhịp tim",theo dõi giấc ngủ đo nhịp tim với chất lượng vượt trội
P0282,Amazfit Đồng hồ thông minh 247,Đồng hồ thông minh,Amazfit,47132000.0,4.9,"màn hình AMOLED, kháng nước",màn hình AMOLED kháng nước với chất lượng vượt trội
P0025,Realme Điện thoại 248,Điện thoại,Realme,28102000.0,4.5,"sạc nhanh, camera kép",sạc nhanh camera kép với chất lượng vượt trội
P0050,Apple Đồng hồ thông minh 875,Đồng hồ thông minh,Apple,1445000.0,3.1,"GPS, theo dõi giấc ngủ",GPS theo dõi giấc ngủ với chất lượng vượt trội
P0514,Oppo Điện thoại 801,Điện thoại,Oppo,16221000.0,3.6,"màn hình AMOLED, 5G",màn hình AMOLED 5G với chất lượng vượt trội
P0124,HP Laptop 163,Laptop,HP,32314000.0,4.3,"card rời, RAM 16GB",card rời RAM 16GB với chất lượng vượt trội
P0420,Samsung Tai nghe 407,Tai nghe,Samsung,44763000.0,4.6,"chống ồn, bluetooth 5.0",chống ồn bluetooth 5.0 với chất lượng vượt trội
P0443,Apple Tai nghe 124,Tai nghe,Apple,45613000.0,3.4,"in-ear, sạc nhanh",in-ear sạc nhanh với chất lượng vượt trội
P0190,Lenovo Laptop 800,Laptop,Lenovo,24273000.0,3.5,"card rời, i7 Gen 12",card rời i7 Gen 12 với chất lượng vượt trội
P0617,Huawei Đồng hồ thông minh 455,Đồng hồ thông minh,Huawei,12104000.0,4.9,"GPS, đo nhịp tim",GPS đo nhịp tim với chất lượng vượt trội
P0114,Samsung Sạc dự phòng 109,Sạc dự phòng,Samsung,13434000.0,3.1,"2 cổng USB, sạc nhanh",2 cổng USB sạc nhanh với chất lượng vượt trội
